SRCID,Q1,Q1_Ordinal,Q2,DUM1,DUM2,Q5Average,Q6,Q7Average,Q8,Q9Average,Q10,Q11Average,Q12,Q12_Ordinal,Q18,Q20,Q22,Q22_Ordinal,Q24,p_gender_sdc,p_age_group_sdc,p_education_sdc,p_state_sdc,Random
1619,2,"""2""","""1""","""1""","""1""",1,"""3""",1,"""2""",1,"""1""",2,1,"""1""",10,5,1,"""1""","""0""","""2""","""3""","""3""","""1""",140
1625,4,"""4""","""16""","""2""","""1""",2,"""4""",2,"""4""",2,"""1""",2,1,"""1""",8,6,1,"""1""","""0""","""2""","""3""","""3""","""1""",
1627,4,"""4""","""19""","""1""","""1""",2,"""1""",1,"""9""",2,"""1""",1,1,"""1""",5,6,1,"""1""","""0""","""1""","""1""","""2""","""1""",
1634,4,"""4""","""1""","""1""","""3""",3,"""4""",1,"""9""",3,"""2""",3,1,"""1""",4,4,1,"""1""","""0""","""2""","""4""","""2""","""1""",141
1649,4,"""4""","""1""","""2""","""1""",3,"""4""",1,"""2""",3,"""2""",2,1,"""1""",7,5,1,"""1""","""0""","""2""","""2""","""2""","""2""",142
1664,4,"""4""","""16""","""1""","""2""",2,"""4""",1,"""2""",2,"""1""",2,1,"""1""",5,5,1,"""1""","""0""","""1""","""4""","""3""","""2""",
1689,2,"""2""","""32""","""2""","""3""",2,"""2""",1,"""7""",2,"""1""",1,1,"""1""",6,7,1,"""1""","""0""","""1""","""3""","""2""","""3""",
1693,2,"""2""","""1""","""1""","""3""",2,"""4""",1,"""4""",2,"""1""",2,1,"""1""",5,8,1,"""1""","""0""","""2""","""2""","""2""","""1""",143
1695,4,"""4""","""13""","""1""","""1""",2,"""1""",1,"""2""",2,"""1""",2,1,"""1""",7,7,1,"""1""","""0""","""2""","""3""","""2""","""3""",
1696,4,"""4""","""33""","""2""","""1""",2,"""12""",1,"""5""",2,"""1""",2,1,"""1""",7,7,1,"""1""","""0""","""2""","""3""","""2""","""1""",
1697,2,"""2""","""13""","""1""","""2""",3,"""1""",2,"""2""",3,"""2""",2,1,"""1""",8,10,1,"""1""","""0""","""2""","""2""","""3""","""3""",144
1707,2,"""2""","""5""","""1""","""1""",2,"""4""",2,"""9""",2,"""1""",2,1,"""1""",5,8,1,"""1""","""0""","""2""","""2""","""2""","""1""",145
1713,2,"""2""","""1""","""1""","""1""",2,"""4""",1,"""9""",2,"""1""",2,1,"""1""",7,8,1,"""1""","""0""","""1""","""3""","""2""","""1""",
1717,4,"""4""","""16""","""1""","""3""",2,"""4""",1,"""2""",2,"""2""",2,1,"""1""",5,10,1,"""1""","""0""","""1""","""4""","""1""","""4""",
1725,4,"""4""","""96""","""1""","""1""",2,"""4""",1,"""9""",2,"""1""",1,1,"""1""",6,4,1,"""1""","""0""","""1""","""3""","""3""","""5""",146
1727,2,"""2""","""29""","""1""","""3""",2,"""4""",1,"""2""",2,"""1""",2,1,"""1""",5,6,1,"""1""","""0""","""2""","""3""","""2""","""2""",
1734,2,"""2""","""28""","""1""","""3""",3,"""4""",1,"""9""",3,"""1""",2,1,"""1""",4,6,1,"""1""","""0""","""2""","""4""","""1""","""1""",
1742,2,"""2""","""1""","""1""","""2""",2,"""1""",1,"""1""",2,"""2""",1,1,"""1""",6,7,1,"""1""","""1""","""2""","""4""","""1""","""5""",147
1745,2,"""2""","""13""","""2""","""1""",2,"""8""",1,"""3""",2,"""2""",2,1,"""1""",4,5,1,"""1""","""0""","""1""","""4""","""1""","""4""",148
1747,4,"""4""","""13""","""2""","""1""",3,"""12""",1,"""2""",3,"""2""",2,1,"""1""",7,7,1,"""1""","""0""","""1""","""3""","""2""","""1""",
1752,1,"""1""","""26""","""2""","""2""",3,"""4""",1,"""9""",3,"""2""",2,1,"""1""",8,6,1,"""1""","""0""","""2""","""3""","""2""","""3""",
1759,4,"""4""","""16""","""1""","""3""",3,"""2""",1,"""3""",3,"""2""",2,1,"""1""",5,5,1,"""1""","""0""","""2""","""4""","""2""","""2""",149
1763,2,"""2""","""-98""","""1""","""3""",2,"""4""",2,"""2""",2,"""2""",2,1,"""1""",6,4,1,"""1""","""0""","""1""","""2""","""3""","""3""",
1765,2,"""2""","""96""","""1""","""1""",2,"""4""",2,"""1""",2,"""1""",2,1,"""1""",6,9,1,"""1""","""0""","""2""","""2""","""2""","""3""",
1768,2,"""2""","""13""","""2""","""1""",3,"""4""",1,"""5""",3,"""2""",3,1,"""1""",6,4,1,"""1""","""0""","""1""","""4""","""3""","""4""",150
1773,2,"""2""","""16""","""1""","""1""",2,"""1""",1,"""8""",2,"""2""",2,1,"""1""",6,10,1,"""1""","""0""","""1""","""4""","""2""","""5""",151
1774,4,"""4""","""13""","""1""","""1""",2,"""1""",2,"""2""",2,"""2""",3,1,"""1""",6,5,1,"""1""","""0""","""2""","""4""","""3""","""2""",
1788,4,"""4""","""26""","""1""","""2""",2,"""8""",1,"""4""",2,"""1""",3,1,"""1""",8,9,1,"""1""","""0""","""1""","""4""","""3""","""2""",
1790,4,"""4""","""16""","""2""","""2""",2,"""4""",1,"""5""",2,"""2""",2,1,"""1""",7,7,1,"""1""","""0""","""1""","""4""","""2""","""7""",152
1791,2,"""2""","""1""","""2""","""2""",2,"""4""",1,"""9""",2,"""1""",2,1,"""1""",8,4,1,"""1""","""0""","""1""","""3""","""2""","""3""",
1797,2,"""2""","""96""","""2""","""1""",2,"""10""",1,"""9""",2,"""1""",1,1,"""1""",5,5,1,"""1""","""0""","""2""","""3""","""3""","""2""",
1798,4,"""4""","""1""","""2""","""3""",2,"""4""",1,"""2""",2,"""2""",2,1,"""1""",7,6,1,"""1""","""0""","""2""","""3""","""3""","""3""",153
1803,4,"""4""","""-99""","""2""","""2""",2,"""2""",1,"""9""",2,"""1""",1,1,"""1""",7,5,1,"""1""","""0""","""2""","""2""","""2""","""2""",154
1815,2,"""2""","""36""","""1""","""2""",2,"""4""",1,"""5""",2,"""1""",2,1,"""1""",6,5,1,"""1""","""0""","""2""","""3""","""3""","""1""",
1817,4,"""4""","""1""","""1""","""1""",3,"""1""",1,"""6""",3,"""2""",2,1,"""1""",5,6,1,"""1""","""0""","""2""","""3""","""2""","""5""",
1818,2,"""2""","""4""","""2""","""2""",2,"""2""",1,"""2""",2,"""1""",2,1,"""1""",5,6,1,"""1""","""0""","""2""","""4""","""3""","""1""",155
1819,1,"""1""","""16""","""1""","""2""",1,"""10""",1,"""4""",1,"""1""",2,1,"""1""",5,5,1,"""1""","""0""","""1""","""4""","""3""","""1""",
1826,4,"""4""","""16""","""1""","""1""",2,"""4""",1,"""9""",2,"""1""",2,1,"""1""",3,7,1,"""1""","""0""","""2""","""4""","""3""","""5""",
1827,2,"""2""","""16""","""1""","""3""",2,"""3""",1,"""1""",2,"""1""",2,1,"""1""",6,8,1,"""1""","""0""","""1""","""4""","""2""","""5""",156
1833,5,"""5""","""13""","""2""","""1""",2,"""4""",1,"""3""",2,"""1""",1,1,"""1""",0,10,1,"""1""","""0""","""2""","""4""","""3""","""1""",157
1839,2,"""2""","""13""","""2""","""2""",2,"""1""",2,"""1""",2,"""1""",2,1,"""1""",0,7,1,"""1""","""0""","""2""","""4""","""3""","""5""",
1858,2,"""2""","""16""","""1""","""3""",2,"""4""",1,"""2""",2,"""1""",2,1,"""1""",3,5,1,"""1""","""0""","""1""","""2""","""3""","""3""",
1865,2,"""2""","""-98""","""1""","""2""",3,"""1""",1,"""5""",3,"""2""",2,1,"""1""",5,6,1,"""1""","""0""","""2""","""3""","""3""","""2""",158
1872,2,"""2""","""20""","""1""","""2""",3,"""1""",2,"""2""",3,"""2""",2,1,"""1""",5,7,1,"""1""","""0""","""2""","""3""","""3""","""1""",
1885,4,"""4""","""13""","""2""","""2""",2,"""4""",1,"""9""",2,"""2""",2,1,"""1""",2,2,1,"""1""","""0""","""2""","""3""","""3""","""3""",
1903,2,"""2""","""-98""","""2""","""1""",2,"""7""",1,"""5""",2,"""1""",1,1,"""1""",1,10,1,"""1""","""0""","""2""","""4""","""1""","""1""",159
1905,4,"""4""","""2""","""2""","""1""",2,"""1""",1,"""2""",2,"""2""",2,1,"""1""",5,7,1,"""1""","""0""","""2""","""3""","""2""","""1""",160
1916,2,"""2""","""2""","""1""","""3""",2,"""1""",2,"""2""",2,"""1""",2,1,"""1""",4,7,1,"""1""","""0""","""2""","""4""","""2""","""3""",
1929,2,"""2""","""1""","""2""","""3""",2,"""4""",1,"""2""",2,"""2""",2,1,"""1""",7,8,1,"""1""","""2""","""2""","""4""","""1""","""2""",
1931,2,"""2""","""19""","""2""","""3""",2,"""4""",1,"""2""",2,"""1""",1,1,"""1""",8,7,1,"""1""","""0""","""1""","""2""","""3""","""3""",161
1944,2,"""2""","""4""","""1""","""3""",2,"""4""",1,"""2""",2,"""2""",2,1,"""1""",7,7,1,"""1""","""0""","""1""","""3""","""3""","""5""",
1969,1,"""1""","""34""","""1""","""1""",2,"""1""",2,"""9""",2,"""1""",2,1,"""1""",7,7,1,"""1""","""0""","""2""","""2""","""2""","""3""",
1972,2,"""2""","""13""","""2""","""3""",3,"""4""",1,"""2""",3,"""2""",1,1,"""1""",5,6,1,"""1""","""0""","""1""","""1""","""2""","""2""",162
1980,5,"""5""","""34""","""2""","""1""",3,"""4""",1,"""9""",3,"""2""",2,1,"""1""",3,10,1,"""1""","""0""","""2""","""2""","""2""","""1""",163
1991,1,"""1""","""16""","""1""","""1""",2,"""1""",1,"""1""",2,"""1""",2,1,"""1""",8,5,1,"""1""","""0""","""1""","""2""","""2""","""2""",
1995,4,"""4""","""32""","""1""","""1""",2,"""1""",1,"""2""",2,"""1""",2,1,"""1""",7,8,1,"""1""","""0""","""2""","""3""","""2""","""3""",
1997,1,"""1""","""11""","""2""","""3""",2,"""4""",2,"""2""",2,"""1""",2,1,"""1""",8,9,1,"""1""","""0""","""2""","""2""","""2""","""1""",164
2025,2,"""2""","""16""","""2""","""1""",2,"""1""",1,"""1""",2,"""2""",2,1,"""1""",8,9,1,"""1""","""0""","""1""","""4""","""3""","""1""",
2032,4,"""4""","""30""","""2""","""1""",3,"""4""",1,"""5""",3,"""2""",2,1,"""1""",6,7,1,"""1""","""2""","""2""","""4""","""1""","""5""",
2035,2,"""2""","""14""","""2""","""3""",3,"""4""",2,"""3""",3,"""2""",1,1,"""1""",10,10,1,"""1""","""0""","""2""","""2""","""3""","""3""",165
2042,4,"""4""","""6""","""2""","""3""",2,"""4""",1,"""2""",2,"""2""",2,1,"""1""",8,7,1,"""1""","""2""","""2""","""2""","""1""","""1""",166
2050,4,"""4""","""1""","""2""","""1""",3,"""2""",2,"""1""",3,"""1""",2,1,"""1""",0,7,1,"""1""","""0""","""1""","""1""","""3""","""3""",
2073,5,"""5""","""11""","""2""","""1""",2,"""6""",2,"""5""",2,"""1""",2,1,"""1""",6,10,1,"""1""","""2""","""2""","""4""","""1""","""2""",
2096,5,"""5""","""34""","""2""","""1""",2,"""5""",1,"""2""",2,"""2""",1,1,"""1""",6,5,1,"""1""","""0""","""1""","""2""","""2""","""2""",167
2120,4,"""4""","""29""","""1""","""1""",2,"""1""",2,"""5""",2,"""1""",2,1,"""1""",4,8,1,"""1""","""0""","""1""","""4""","""2""","""1""",
2138,2,"""2""","""16""","""2""","""3""",2,"""4""",2,"""2""",2,"""1""",2,1,"""1""",9,6,1,"""1""","""0""","""1""","""2""","""2""","""3""",
2139,2,"""2""","""-99""","""1""","""3""",3,"""6""",2,"""2""",3,"""2""",2,1,"""1""",0,0,1,"""1""","""0""","""2""","""4""","""2""","""6""",168
2151,4,"""4""","""1""","""2""","""1""",2,"""10""",2,"""8""",2,"""1""",2,1,"""1""",2,3,1,"""1""","""0""","""1""","""2""","""3""","""1""",169
2154,4,"""4""","""11""","""2""","""3""",2,"""4""",1,"""9""",2,"""1""",2,1,"""1""",6,10,1,"""1""","""0""","""2""","""4""","""3""","""3""",
2169,4,"""4""","""96""","""1""","""2""",3,"""6""",1,"""9""",3,"""2""",1,1,"""1""",1,10,1,"""1""","""0""","""1""","""3""","""3""","""1""",
2170,2,"""2""","""13""","""1""","""3""",4,"""4""",1,"""5""",4,"""2""",3,1,"""1""",6,4,1,"""1""","""0""","""1""","""2""","""2""","""2""",170
2176,4,"""4""","""16""","""1""","""3""",3,"""12""",2,"""8""",3,"""2""",2,1,"""1""",5,7,1,"""1""","""0""","""1""","""3""","""2""","""3""",
2186,2,"""2""","""1""","""1""","""1""",2,"""5""",1,"""9""",2,"""1""",1,1,"""1""",5,5,1,"""1""","""0""","""1""","""2""","""1""","""8""",
2196,4,"""4""","""1""","""1""","""1""",2,"""4""",1,"""9""",2,"""1""",2,1,"""1""",1,6,1,"""1""","""0""","""2""","""4""","""3""","""4""",171
2197,2,"""2""","""16""","""1""","""1""",2,"""8""",1,"""4""",2,"""1""",2,1,"""1""",7,5,1,"""1""","""0""","""2""","""4""","""3""","""2""",172
2198,2,"""2""","""16""","""1""","""1""",2,"""4""",1,"""4""",2,"""1""",1,1,"""1""",0,0,1,"""1""","""0""","""2""","""4""","""3""","""2""",
2243,4,"""4""","""1""","""1""","""1""",2,"""4""",1,"""9""",2,"""1""",2,1,"""1""",1,2,1,"""1""","""0""","""2""","""2""","""3""","""5""",
2257,4,"""4""","""17""","""1""","""1""",1,"""4""",1,"""9""",1,"""1""",2,1,"""1""",7,6,1,"""1""","""2""","""2""","""2""","""1""","""2""",173
2264,2,"""2""","""19""","""1""","""1""",2,"""4""",2,"""9""",2,"""2""",2,1,"""1""",6,5,1,"""1""","""0""","""1""","""3""","""2""","""1""",
2265,4,"""4""","""16""","""1""","""1""",3,"""4""",1,"""5""",3,"""2""",2,1,"""1""",10,10,1,"""1""","""0""","""1""","""4""","""3""","""3""",
2278,4,"""4""","""13""","""1""","""1""",3,"""7""",1,"""2""",3,"""2""",3,1,"""1""",6,8,1,"""1""","""0""","""2""","""2""","""3""","""3""",174
2299,1,"""1""","""13""","""1""","""1""",3,"""6""",1,"""2""",3,"""2""",2,1,"""1""",5,10,1,"""1""","""0""","""2""","""2""","""2""","""2""",175
2307,2,"""2""","""35""","""1""","""1""",2,"""4""",1,"""9""",2,"""2""",2,1,"""1""",7,7,1,"""1""","""0""","""2""","""2""","""2""","""2""",
2308,2,"""2""","""16""","""1""","""1""",2,"""12""",1,"""6""",2,"""2""",2,1,"""1""",5,5,1,"""1""","""0""","""2""","""2""","""2""","""1""",
2319,2,"""2""","""16""","""1""","""1""",2,"""2""",1,"""9""",2,"""2""",2,1,"""1""",9,5,1,"""1""","""0""","""2""","""2""","""3""","""1""",176
2364,2,"""2""","""1""","""1""","""2""",2,"""4""",1,"""2""",2,"""1""",2,1,"""1""",3,9,1,"""1""","""0""","""2""","""2""","""3""","""4""",
2370,5,"""5""","""13""","""1""","""2""",2,"""5""",1,"""3""",2,"""2""",2,1,"""1""",8,10,1,"""1""","""0""","""1""","""4""","""2""","""2""",
2381,2,"""2""","""1""","""1""","""1""",2,"""4""",2,"""5""",2,"""1""",2,1,"""1""",7,8,1,"""1""","""0""","""1""","""2""","""2""","""1""",177
2391,4,"""4""","""1""","""1""","""1""",2,"""4""",1,"""2""",2,"""2""",2,1,"""1""",7,7,1,"""1""","""0""","""1""","""4""","""2""","""2""",178
2395,4,"""4""","""26""","""2""","""2""",2,"""6""",1,"""2""",2,"""1""",3,1,"""1""",8,5,1,"""1""","""0""","""2""","""4""","""2""","""2""",
2398,2,"""2""","""1""","""1""","""2""",2,"""2""",2,"""9""",2,"""2""",2,1,"""1""",5,6,1,"""1""","""0""","""2""","""2""","""2""","""2""",
2401,4,"""4""","""17""","""1""","""1""",2,"""1""",2,"""2""",2,"""2""",2,1,"""1""",9,8,1,"""1""","""0""","""1""","""2""","""2""","""5""",179
2407,4,"""4""","""16""","""1""","""1""",2,"""1""",1,"""2""",2,"""2""",2,1,"""1""",5,6,1,"""1""","""1""","""2""","""4""","""1""","""3""",
2410,4,"""4""","""32""","""1""","""3""",2,"""1""",2,"""3""",2,"""2""",2,1,"""1""",5,7,1,"""1""","""0""","""1""","""4""","""3""","""1""",
2413,5,"""5""","""32""","""1""","""1""",2,"""4""",1,"""6""",2,"""1""",1,1,"""1""",0,0,1,"""1""","""0""","""1""","""4""","""3""","""5""",180
2414,2,"""2""","""8""","""1""","""1""",2,"""4""",1,"""2""",2,"""1""",2,1,"""1""",9,7,1,"""1""","""0""","""2""","""3""","""2""","""3""",181
2441,2,"""2""","""1""","""1""","""1""",3,"""1""",1,"""5""",3,"""1""",2,1,"""1""",3,3,1,"""1""","""0""","""1""","""3""","""2""","""4""",
2453,4,"""4""","""1""","""1""","""1""",2,"""2""",1,"""2""",2,"""2""",2,1,"""1""",7,8,1,"""1""","""0""","""1""","""2""","""3""","""3""",
2461,4,"""4""","""13""","""1""","""1""",2,"""4""",1,"""3""",2,"""2""",2,1,"""1""",5,7,1,"""1""","""0""","""2""","""4""","""2""","""1""",182
2466,4,"""4""","""11""","""1""","""1""",3,"""2""",2,"""6""",3,"""2""",2,1,"""1""",5,8,1,"""1""","""0""","""1""","""2""","""3""","""1""",
2473,2,"""2""","""6""","""1""","""1""",2,"""2""",1,"""1""",2,"""1""",2,1,"""1""",6,7,1,"""1""","""0""","""1""","""3""","""1""","""4""",
2474,5,"""5""","""21""","""1""","""1""",2,"""3""",1,"""9""",2,"""1""",1,1,"""1""",0,5,1,"""1""","""0""","""2""","""4""","""3""","""3""",183
2494,5,"""5""","""16""","""1""","""1""",2,"""1""",2,"""2""",3,"""1""",1,1,"""1""",1,1,1,"""1""","""0""","""1""","""3""","""1""","""5""",184
2495,2,"""2""","""96""","""1""","""1""",2,"""1""",2,"""1""",2,"""2""",2,1,"""1""",8,6,1,"""1""","""0""","""1""","""4""","""3""","""2""",
2498,2,"""2""","""96""","""2""","""3""",2,"""4""",1,"""9""",2,"""1""",2,1,"""1""",7,5,1,"""1""","""0""","""1""","""3""","""3""","""1""",
2503,1,"""1""","""27""","""2""","""2""",2,"""4""",1,"""2""",2,"""1""",2,1,"""1""",4,8,1,"""1""","""0""","""2""","""4""","""3""","""2""",185
2506,2,"""2""","""-98""","""1""","""3""",2,"""4""",1,"""9""",2,"""1""",2,1,"""1""",2,5,1,"""1""","""0""","""2""","""2""","""3""","""1""",
2513,2,"""2""","""1""","""1""","""2""",2,"""3""",1,"""9""",2,"""1""",2,1,"""1""",7,5,1,"""1""","""0""","""1""","""4""","""3""","""1""",
2519,2,"""2""","""5""","""1""","""2""",3,"""4""",1,"""8""",3,"""2""",3,1,"""1""",7,7,1,"""1""","""0""","""2""","""3""","""1""","""8""",186
2525,2,"""2""","""1""","""1""","""2""",2,"""4""",1,"""2""",2,"""1""",2,1,"""1""",7,4,1,"""1""","""0""","""2""","""2""","""2""","""2""",187
2535,2,"""2""","""20""","""2""","""2""",2,"""9""",1,"""2""",2,"""1""",2,1,"""1""",7,7,1,"""1""","""0""","""2""","""3""","""2""","""1""",
4,4,"""4""","""13""","""1""","""1""",2,"""4""",2,"""4""",2,"""1""",2,2,"""2""",5,5,1,"""1""","""0""","""2""","""3""","""2""","""6""",
5,4,"""4""","""1""","""1""","""1""",2,"""4""",1,"""9""",2,"""1""",2,2,"""2""",5,0,1,"""1""","""0""","""2""","""4""","""3""","""4""",188
9,4,"""4""","""13""","""2""","""3""",2,"""1""",1,"""3""",2,"""2""",2,2,"""2""",6,8,1,"""1""","""0""","""2""","""4""","""3""","""1""",
11,2,"""2""","""11""","""2""","""1""",2,"""5""",1,"""7""",2,"""1""",2,2,"""2""",0,4,1,"""1""","""0""","""2""","""2""","""2""","""3""",
12,2,"""2""","""13""","""2""","""1""",2,"""4""",1,"""6""",2,"""1""",2,2,"""2""",0,7,1,"""1""","""0""","""1""","""4""","""3""","""1""",189
18,2,"""2""","""31""","""1""","""3""",2,"""1""",1,"""8""",2,"""1""",3,2,"""2""",3,9,1,"""1""","""0""","""1""","""4""","""2""","""3""",190
29,4,"""4""","""11""","""1""","""1""",2,"""4""",1,"""9""",2,"""2""",2,2,"""2""",9,8,1,"""1""","""0""","""1""","""4""","""2""","""1""",
30,2,"""2""","""-98""","""1""","""1""",2,"""4""",1,"""3""",2,"""1""",2,2,"""2""",8,7,1,"""1""","""0""","""2""","""4""","""1""","""1""",
35,4,"""4""","""1""","""2""","""1""",2,"""4""",1,"""2""",2,"""2""",2,2,"""2""",5,7,1,"""1""","""0""","""2""","""4""","""3""","""4""",191
37,2,"""2""","""1""","""2""","""2""",2,"""2""",1,"""2""",2,"""1""",1,2,"""2""",6,8,1,"""1""","""0""","""2""","""4""","""3""","""1""",
41,2,"""2""","""16""","""2""","""2""",2,"""1""",1,"""4""",2,"""2""",1,2,"""2""",9,8,1,"""1""","""0""","""2""","""4""","""2""","""1""",
46,2,"""2""","""16""","""1""","""2""",2,"""4""",2,"""9""",2,"""1""",1,2,"""2""",3,5,1,"""1""","""0""","""2""","""3""","""2""","""1""",192
54,2,"""2""","""13""","""1""","""3""",3,"""4""",1,"""2""",3,"""1""",3,2,"""2""",3,10,1,"""1""","""0""","""1""","""3""","""3""","""1""",193
60,2,"""2""","""4""","""2""","""3""",2,"""4""",2,"""4""",2,"""2""",2,2,"""2""",3,3,1,"""1""","""2""","""1""","""2""","""1""","""5""",
64,2,"""2""","""8""","""1""","""1""",2,"""4""",1,"""2""",2,"""1""",2,2,"""2""",5,5,1,"""1""","""0""","""2""","""2""","""3""","""2""",
65,2,"""2""","""30""","""1""","""3""",2,"""4""",1,"""9""",2,"""1""",2,2,"""2""",4,8,1,"""1""","""0""","""2""","""4""","""1""","""4""",194
67,4,"""4""","""96""","""2""","""1""",2,"""6""",2,"""2""",2,"""1""",2,2,"""2""",7,8,1,"""1""","""0""","""1""","""2""","""2""","""4""",
79,2,"""2""","""30""","""2""","""2""",3,"""6""",1,"""9""",3,"""1""",2,2,"""2""",8,7,1,"""1""","""0""","""2""","""2""","""3""","""3""",
85,2,"""2""","""29""","""2""","""1""",2,"""1""",1,"""5""",2,"""1""",2,2,"""2""",5,7,1,"""1""","""0""","""2""","""4""","""3""","""4""",195
96,4,"""4""","""1""","""2""","""1""",2,"""6""",2,"""9""",2,"""2""",2,2,"""2""",5,3,1,"""1""","""0""","""1""","""4""","""3""","""4""",196
97,2,"""2""","""1""","""1""","""1""",2,"""10""",2,"""1""",2,"""2""",2,2,"""2""",7,7,1,"""1""","""0""","""2""","""2""","""3""","""5""",
106,2,"""2""","""-98""","""1""","""1""",2,"""4""",1,"""9""",2,"""1""",2,2,"""2""",0,6,1,"""1""","""0""","""2""","""3""","""3""","""1""",
107,2,"""2""","""5""","""1""","""3""",2,"""4""",1,"""1""",2,"""1""",2,2,"""2""",8,7,1,"""1""","""0""","""1""","""3""","""2""","""2""",197
110,4,"""4""","""16""","""2""","""1""",2,"""2""",1,"""1""",2,"""1""",1,2,"""2""",10,10,1,"""1""","""0""","""1""","""1""","""3""","""3""",
115,2,"""2""","""17""","""1""","""1""",2,"""5""",1,"""3""",2,"""2""",2,2,"""2""",7,5,1,"""1""","""0""","""2""","""3""","""2""","""1""",
133,4,"""4""","""32""","""1""","""2""",2,"""1""",1,"""2""",2,"""2""",2,2,"""2""",5,5,1,"""1""","""0""","""1""","""4""","""3""","""1""",198
135,3,"""3""","""20""","""2""","""1""",2,"""4""",2,"""2""",2,"""1""",1,2,"""2""",7,10,1,"""1""","""0""","""2""","""2""","""3""","""1""",199
170,2,"""2""","""19""","""1""","""2""",3,"""1""",2,"""2""",3,"""2""",2,2,"""2""",7,5,1,"""1""","""0""","""1""","""2""","""3""","""1""",
178,2,"""2""","""1""","""1""","""1""",2,"""2""",1,"""2""",2,"""2""",2,2,"""2""",5,5,1,"""1""","""0""","""2""","""4""","""3""","""3""",
189,5,"""5""","""1""","""2""","""1""",2,"""3""",1,"""2""",2,"""2""",3,2,"""2""",8,10,1,"""1""","""0""","""1""","""3""","""2""","""3""",200
204,5,"""5""","""11""","""1""","""3""",2,"""9""",1,"""5""",2,"""1""",2,2,"""2""",4,8,1,"""1""","""0""","""1""","""1""","""2""","""1""",
205,2,"""2""","""16""","""1""","""2""",2,"""4""",1,"""9""",2,"""2""",2,2,"""2""",6,7,1,"""1""","""0""","""1""","""3""","""3""","""1""",
213,2,"""2""","""16""","""1""","""3""",2,"""4""",1,"""8""",2,"""1""",2,2,"""2""",7,8,1,"""1""","""1""","""1""","""3""","""1""","""2""",201
222,4,"""4""","""11""","""2""","""2""",2,"""4""",1,"""8""",2,"""2""",1,2,"""2""",7,10,1,"""1""","""0""","""2""","""2""","""3""","""2""",202
225,2,"""2""","""1""","""1""","""1""",2,"""12""",1,"""3""",2,"""1""",1,2,"""2""",2,8,1,"""1""","""0""","""2""","""2""","""2""","""2""",
226,2,"""2""","""1""","""1""","""1""",2,"""4""",1,"""2""",2,"""1""",2,2,"""2""",2,5,1,"""1""","""0""","""2""","""4""","""3""","""2""",
228,2,"""2""","""1""","""1""","""1""",2,"""4""",2,"""1""",2,"""2""",2,2,"""2""",3,5,1,"""1""","""0""","""1""","""3""","""2""","""1""",203
238,5,"""5""","""19""","""1""","""2""",3,"""12""",1,"""9""",3,"""2""",1,2,"""2""",7,7,1,"""1""","""0""","""1""","""3""","""2""","""1""",
246,4,"""4""","""16""","""2""","""1""",2,"""6""",1,"""8""",2,"""1""",2,2,"""2""",5,8,1,"""1""","""0""","""1""","""2""","""2""","""3""",
257,4,"""4""","""16""","""1""","""2""",2,"""4""",2,"""5""",2,"""1""",2,2,"""2""",3,3,1,"""1""","""0""","""1""","""2""","""1""","""8""",204
259,1,"""1""","""13""","""1""","""3""",1,"""4""",2,"""5""",1,"""1""",2,2,"""2""",7,7,1,"""1""","""0""","""1""","""4""","""2""","""1""",205
260,4,"""4""","""11""","""2""","""2""",2,"""4""",1,"""3""",2,"""1""",2,2,"""2""",4,10,1,"""1""","""0""","""2""","""3""","""2""","""4""",
262,2,"""2""","""29""","""1""","""2""",2,"""12""",1,"""2""",2,"""1""",2,2,"""2""",6,6,1,"""1""","""0""","""2""","""2""","""2""","""1""",
264,2,"""2""","""13""","""1""","""2""",2,"""2""",2,"""5""",2,"""1""",2,2,"""2""",8,8,1,"""1""","""0""","""1""","""3""","""1""","""2""",206
269,5,"""5""","""1""","""1""","""3""",3,"""1""",2,"""9""",3,"""1""",2,2,"""2""",4,5,1,"""1""","""0""","""1""","""4""","""3""","""3""",
277,1,"""1""","""20""","""1""","""3""",2,"""6""",1,"""9""",2,"""2""",2,2,"""2""",9,3,1,"""1""","""0""","""1""","""1""","""2""","""2""",
299,5,"""5""","""34""","""2""","""3""",2,"""1""",1,"""2""",2,"""1""",2,2,"""2""",5,7,1,"""1""","""0""","""2""","""4""","""3""","""3""",207
303,2,"""2""","""2""","""2""","""1""",2,"""1""",2,"""9""",2,"""1""",1,2,"""2""",5,5,1,"""1""","""0""","""1""","""4""","""3""","""2""",208
307,4,"""4""","""11""","""1""","""1""",3,"""6""",2,"""5""",3,"""2""",2,2,"""2""",6,7,1,"""1""","""0""","""1""","""3""","""2""","""2""",
311,2,"""2""","""16""","""2""","""2""",2,"""9""",2,"""2""",2,"""2""",2,2,"""2""",2,7,1,"""1""","""0""","""1""","""3""","""2""","""5""",
313,4,"""4""","""11""","""2""","""1""",2,"""4""",1,"""1""",2,"""1""",1,2,"""2""",7,8,1,"""1""","""0""","""2""","""1""","""2""","""3""",209
315,2,"""2""","""11""","""2""","""1""",2,"""1""",2,"""5""",2,"""2""",2,2,"""2""",7,8,1,"""1""","""0""","""2""","""3""","""2""","""1""",
319,2,"""2""","""1""","""2""","""2""",1,"""9""",1,"""6""",1,"""1""",2,2,"""2""",5,5,1,"""1""","""0""","""2""","""2""","""1""","""5""",
