SRCID,Q1,Q1_Ordinal,Q2,DUM1,DUM2,Q5Average,Q6,Q7Average,Q8,Q9Average,Q10,Q11Average,Q12,Q12_Ordinal,Q18,Q20,Q22,Q22_Ordinal,Q24,p_gender_sdc,p_age_group_sdc,p_education_sdc,p_state_sdc,Random
161,5,"""5""","""16""","""1""","""3""",3,"""12""",2,"""5""",3,"""2""",2,1,"""1""",4,6,1,"""1""","""0""","""2""","""2""","""3""","""2""",
174,2,"""2""","""13""","""1""","""3""",2,"""5""",1,"""1""",2,"""1""",2,1,"""1""",3,5,1,"""1""","""0""","""2""","""4""","""3""","""2""",6
175,1,"""1""","""1""","""1""","""1""",2,"""1""",2,"""2""",2,"""1""",2,1,"""1""",6,6,1,"""1""","""2""","""1""","""4""","""1""","""2""",7
182,4,"""4""","""13""","""1""","""1""",2,"""4""",1,"""2""",2,"""1""",3,1,"""1""",7,7,1,"""1""","""0""","""2""","""4""","""3""","""2""",
187,4,"""4""","""13""","""1""","""1""",3,"""2""",1,"""2""",3,"""1""",2,1,"""1""",6,6,1,"""1""","""0""","""2""","""3""","""2""","""1""",
188,2,"""2""","""13""","""1""","""3""",2,"""4""",1,"""2""",2,"""1""",2,1,"""1""",6,5,1,"""1""","""0""","""1""","""2""","""2""","""5""",8
191,2,"""2""","""16""","""1""","""3""",3,"""4""",2,"""2""",3,"""1""",2,1,"""1""",4,6,1,"""1""","""0""","""2""","""1""","""3""","""2""",
196,2,"""2""","""16""","""1""","""3""",2,"""4""",1,"""9""",2,"""1""",2,1,"""1""",4,4,1,"""1""","""0""","""1""","""4""","""3""","""3""",
211,2,"""2""","""16""","""1""","""1""",2,"""4""",2,"""4""",2,"""1""",3,1,"""1""",5,5,1,"""1""","""0""","""1""","""4""","""3""","""2""",9
215,4,"""4""","""35""","""1""","""3""",2,"""4""",2,"""2""",2,"""1""",2,1,"""1""",7,7,1,"""1""","""0""","""1""","""3""","""2""","""5""",10
223,2,"""2""","""13""","""2""","""2""",2,"""4""",2,"""2""",2,"""2""",2,1,"""1""",7,6,1,"""1""","""0""","""2""","""3""","""3""","""2""",
224,2,"""2""","""5""","""1""","""3""",2,"""4""",2,"""2""",2,"""2""",3,1,"""1""",5,5,1,"""1""","""0""","""2""","""4""","""3""","""4""",
231,2,"""2""","""96""","""2""","""2""",2,"""4""",1,"""5""",2,"""1""",2,1,"""1""",7,5,1,"""1""","""0""","""2""","""2""","""2""","""3""",11
232,4,"""4""","""16""","""1""","""1""",2,"""4""",2,"""9""",2,"""2""",1,1,"""1""",5,9,1,"""1""","""0""","""1""","""4""","""3""","""3""",
236,2,"""2""","""32""","""1""","""2""",2,"""4""",1,"""2""",2,"""1""",2,1,"""1""",3,7,1,"""1""","""0""","""2""","""2""","""2""","""2""",
249,2,"""2""","""20""","""1""","""1""",2,"""2""",1,"""8""",2,"""1""",3,1,"""1""",8,10,1,"""1""","""0""","""1""","""4""","""2""","""5""",12
250,2,"""2""","""16""","""2""","""3""",2,"""1""",1,"""9""",2,"""2""",2,1,"""1""",1,3,1,"""1""","""0""","""1""","""3""","""2""","""3""",13
255,2,"""2""","""1""","""2""","""1""",2,"""4""",1,"""2""",2,"""2""",2,1,"""1""",1,7,1,"""1""","""0""","""2""","""2""","""3""","""4""",
261,2,"""2""","""16""","""2""","""2""",2,"""4""",2,"""2""",2,"""2""",1,1,"""1""",8,9,1,"""1""","""0""","""1""","""1""","""2""","""2""",
266,4,"""4""","""13""","""1""","""1""",3,"""3""",1,"""5""",3,"""2""",2,1,"""1""",7,5,1,"""1""","""0""","""1""","""4""","""2""","""2""",14
268,4,"""4""","""36""","""1""","""1""",3,"""1""",2,"""2""",3,"""2""",3,1,"""1""",6,8,1,"""1""","""0""","""2""","""3""","""3""","""3""",
271,2,"""2""","""5""","""1""","""1""",3,"""9""",2,"""9""",3,"""1""",2,1,"""1""",1,3,1,"""1""","""0""","""2""","""4""","""3""","""3""",
276,2,"""2""","""16""","""2""","""2""",2,"""7""",2,"""8""",2,"""2""",2,1,"""1""",6,0,1,"""1""","""0""","""1""","""3""","""3""","""2""",15
278,2,"""2""","""16""","""2""","""2""",2,"""1""",1,"""2""",2,"""1""",1,1,"""1""",6,4,1,"""1""","""0""","""2""","""3""","""2""","""1""",16
282,4,"""4""","""11""","""1""","""3""",2,"""9""",2,"""8""",2,"""1""",2,1,"""1""",2,7,1,"""1""","""2""","""2""","""4""","""1""","""3""",
285,4,"""4""","""1""","""2""","""2""",3,"""8""",2,"""8""",3,"""2""",2,1,"""1""",7,6,1,"""1""","""0""","""1""","""2""","""3""","""1""",
295,2,"""2""","""16""","""1""","""1""",2,"""1""",1,"""2""",2,"""1""",2,1,"""1""",6,8,1,"""1""","""0""","""1""","""4""","""1""","""1""",17
301,2,"""2""","""36""","""1""","""1""",2,"""12""",2,"""6""",2,"""1""",2,1,"""1""",3,5,1,"""1""","""0""","""2""","""4""","""2""","""4""",
305,2,"""2""","""29""","""1""","""2""",2,"""4""",1,"""2""",2,"""1""",2,1,"""1""",7,5,1,"""1""","""0""","""1""","""4""","""2""","""5""",
308,4,"""4""","""32""","""1""","""2""",2,"""5""",1,"""9""",2,"""1""",2,1,"""1""",5,5,1,"""1""","""0""","""1""","""4""","""1""","""3""",18
322,4,"""4""","""13""","""1""","""1""",3,"""1""",1,"""5""",3,"""2""",2,1,"""1""",5,7,1,"""1""","""0""","""2""","""3""","""3""","""3""",19
324,2,"""2""","""18""","""2""","""3""",2,"""5""",1,"""6""",2,"""1""",2,1,"""1""",3,4,1,"""1""","""0""","""2""","""4""","""3""","""3""",
326,2,"""2""","""13""","""1""","""1""",2,"""4""",1,"""2""",2,"""1""",3,1,"""1""",2,9,1,"""1""","""0""","""2""","""4""","""3""","""1""",
327,4,"""4""","""36""","""1""","""1""",2,"""4""",2,"""3""",2,"""2""",2,1,"""1""",7,9,1,"""1""","""0""","""2""","""4""","""3""","""1""",20
329,2,"""2""","""4""","""2""","""1""",3,"""4""",1,"""7""",3,"""2""",2,1,"""1""",6,6,1,"""1""","""0""","""2""","""3""","""3""","""4""",
335,2,"""2""","""11""","""1""","""1""",2,"""1""",1,"""5""",2,"""2""",2,1,"""1""",9,8,1,"""1""","""0""","""1""","""4""","""3""","""4""",
346,2,"""2""","""1""","""2""","""2""",2,"""6""",1,"""5""",2,"""1""",2,1,"""1""",9,9,1,"""1""","""0""","""1""","""3""","""2""","""5""",21
348,4,"""4""","""16""","""1""","""2""",3,"""4""",1,"""2""",3,"""1""",1,1,"""1""",6,10,1,"""1""","""0""","""1""","""2""","""2""","""5""",22
360,4,"""4""","""30""","""2""","""1""",2,"""4""",1,"""2""",2,"""2""",2,1,"""1""",10,10,1,"""1""","""0""","""2""","""3""","""3""","""5""",
362,4,"""4""","""4""","""1""","""2""",2,"""4""",2,"""9""",2,"""1""",2,1,"""1""",5,5,1,"""1""","""0""","""1""","""3""","""3""","""3""",
367,4,"""4""","""16""","""2""","""2""",3,"""4""",2,"""2""",3,"""1""",3,1,"""1""",10,5,1,"""1""","""0""","""1""","""4""","""3""","""5""",23
368,4,"""4""","""4""","""1""","""2""",2,"""2""",1,"""2""",2,"""2""",3,1,"""1""",2,5,1,"""1""","""0""","""2""","""2""","""2""","""3""",
371,4,"""4""","""13""","""2""","""2""",2,"""8""",2,"""9""",2,"""2""",2,1,"""1""",5,5,1,"""1""","""0""","""1""","""2""","""3""","""3""",
373,5,"""5""","""1""","""2""","""2""",2,"""1""",1,"""2""",2,"""1""",2,1,"""1""",0,10,1,"""1""","""0""","""2""","""3""","""2""","""2""",24
381,2,"""2""","""1""","""1""","""1""",2,"""4""",2,"""3""",2,"""1""",2,1,"""1""",6,6,1,"""1""","""0""","""1""","""1""","""2""","""1""",25
382,4,"""4""","""29""","""1""","""1""",2,"""1""",1,"""2""",2,"""1""",2,1,"""1""",5,4,1,"""1""","""0""","""1""","""4""","""2""","""2""",
384,2,"""2""","""20""","""2""","""2""",2,"""1""",1,"""9""",2,"""2""",2,1,"""1""",5,5,1,"""1""","""0""","""1""","""3""","""2""","""1""",
399,1,"""1""","""13""","""1""","""1""",1,"""4""",1,"""3""",1,"""1""",2,1,"""1""",1,8,1,"""1""","""0""","""2""","""4""","""3""","""1""",26
404,4,"""4""","""32""","""2""","""2""",2,"""4""",2,"""5""",2,"""1""",2,1,"""1""",7,10,1,"""1""","""0""","""1""","""3""","""3""","""2""",
411,4,"""4""","""96""","""1""","""1""",4,"""4""",2,"""8""",4,"""2""",2,1,"""1""",5,8,1,"""1""","""0""","""1""","""3""","""3""","""4""",
420,1,"""1""","""16""","""1""","""1""",2,"""5""",1,"""2""",2,"""1""",2,1,"""1""",5,5,1,"""1""","""0""","""2""","""2""","""2""","""1""",27
